id;name;street_address;city;state;postal_code
1;disgusting finally excursion;idolized;Emardborough;sans banter quirk;"05051"
2;skin dryer;alongside;Milesshire;destiny parched brr;"68283-3186"
3;around miserably;graze however;Owenville;aside;"25280-3908"
4;eyelash;yet fox between;North Jaleel;besides uh-huh technologist;"95537"
5;prosecutor happily;down sidetrack;Gutmannworth;whose a park;"78072-6212"
6;precious um whereas;divine;Stratford;scented;"42793"
7;regarding a grateful;yowza blah boo;Fort Smith;efficiency fortunately;"08172-2059"
8;fast engagement across;raiment damp now;East Gillian;when;"28968"
9;help huzzah judgementally;aha drat;Fort Eddiecester;pish;"11784-8212"
10;amidst jumbo;ew;Hammeston;to;"09150"
